SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,Taux_Endettement,Taux_Endettement_OK,Taux_Endettement_NOK,Reste_A_Vivre,YEARS_BIRTH,YEARS_EMPLOYED,YEARS_REGISTRATION,YEARS_ID_PUBLISH
102068,0,1,0,1,2,180000.0,195543.0,13198.5,148500.0,6,2,1,1,1,0.025164,-14921,-1754,-559.0,-4965,13.0,1,1,0,1,0,0,8,4.0,2,2,4,11,0,0,0,0,0,0,5,0.43002524493191496,0.26980707295894657,0.5726825047161584,0.0325,0.0112,0.9682,0.5648,0.0327,0.0,0.0862,0.1042,0.1458,0.0134,0.024,0.0326,0.0116,0.0135,0.0252,0.0068,0.9682,0.5818,0.033,0.0,0.069,0.0833,0.125,0.0117,0.022000000000000002,0.0288,0.0,0.0,0.0328,0.0112,0.9682,0.5706,0.0329,0.0,0.0862,0.1042,0.1458,0.0136,0.0244,0.0332,0.0116,0.0137,3,0,0.0397,5,0,0.0,0.0,0.0,0.0,-2154.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0,9,1,0,178900,-40,-4,-1,-13
102315,0,0,0,1,1,180000.0,234000.0,12825.0,234000.0,1,2,1,0,1,0.018209,-12910,-1465,-6899.0,-5127,15.0,1,1,0,1,0,0,3,3.0,3,3,0,9,0,0,0,0,0,0,25,0.7157946009707215,0.39621254569678177,0.3979463219016906,0.1464,0.1068,0.9861,0.8096,0.0718,0.16,0.1379,0.3333,0.0417,0.0203,0.1194,0.1257,0.0,0.0,0.1492,0.1108,0.9861,0.8171,0.0725,0.1611,0.1379,0.3333,0.0417,0.0208,0.1304,0.131,0.0,0.0,0.1478,0.1068,0.9861,0.8121,0.0723,0.16,0.1379,0.3333,0.0417,0.0207,0.1214,0.128,0.0,0.0,2,0,0.1382,4,0,0.0,0.0,0.0,0.0,-475.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,8.0,10,1,0,178931,-35,-4,-18,-14
102403,0,1,0,1,0,135000.0,104256.0,11074.5,90000.0,6,0,4,1,1,0.019101,-15722,-1861,-7985.0,-4250,19.0,1,1,0,1,0,0,4,2.0,2,2,6,10,0,0,0,0,0,0,5,0.6169181000665416,0.5510103379190335,0.7352209993926424,0.1046,0.0802,0.9876,0.83,0.013999999999999999,0.06,0.1379,0.25,0.0208,0.0483,0.0824,0.0931,0.0135,0.0404,0.0998,0.0832,0.9801,0.7387,0.0131,0.0,0.1034,0.1667,0.0,0.033,0.0826,0.0837,0.0078,0.0069,0.1057,0.0802,0.9876,0.8323,0.0141,0.06,0.1379,0.25,0.0208,0.0491,0.0838,0.0948,0.0136,0.0413,2,2,0.0794,5,0,1.0,0.0,1.0,0.0,-3311.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,6,1,0,134077,-43,-5,-21,-11
102413,0,1,0,1,0,157500.0,301896.0,23490.0,252000.0,6,2,4,0,1,0.008019,-15409,-2736,-3555.0,-4039,16.0,1,1,0,1,0,0,4,2.0,2,2,1,12,0,0,0,0,0,0,50,0.6040972156746302,0.6446323816299063,0.5549467685334323,0.0619,0.0519,0.9866,0.8164,0.0791,0.0,0.1379,0.1667,0.0417,0.0401,0.0504,0.055,0.0,0.0,0.063,0.0539,0.9866,0.8236,0.0799,0.0,0.1379,0.1667,0.0417,0.040999999999999995,0.0551,0.0573,0.0,0.0,0.0625,0.0519,0.9866,0.8189,0.0796,0.0,0.1379,0.1667,0.0417,0.0408,0.0513,0.055999999999999994,0.0,0.0,2,0,0.0433,4,0,2.0,0.0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,15,1,0,155542,-42,-7,-9,-11
102465,0,0,0,1,1,225000.0,922365.0,33259.5,778500.0,6,1,4,1,1,0.00823,-15881,-7567,-610.0,-5545,5.0,1,1,0,1,0,1,10,3.0,2,2,4,13,0,0,0,0,0,0,30,0.5016049754536496,0.6153699999307374,0.5989262182569273,0.1216,0.0233,0.9975,0.966,0.0067,0.12,0.1034,0.375,0.4167,0.0037,0.0975,0.1112,0.0077,0.0144,0.1239,0.0242,0.9975,0.9673,0.0068,0.1208,0.1034,0.375,0.4167,0.0038,0.1065,0.1159,0.0078,0.0152,0.1228,0.0233,0.9975,0.9665,0.0068,0.12,0.1034,0.375,0.4167,0.0038,0.0992,0.1132,0.0078,0.0147,2,0,0.0906,5,0,2.0,0.0,2.0,0.0,-3169.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,34,0,1,222228,-43,-20,-1,-15
102506,0,1,0,1,1,270000.0,225000.0,27994.5,225000.0,6,0,4,1,1,0.072508,-10921,-509,-5670.0,-572,18.0,1,1,1,1,0,0,4,3.0,1,1,1,17,0,0,0,0,0,0,5,0.5977675160454287,0.14709399651121474,0.6092756673894402,0.1402,0.0564,0.9901,0.8640000000000001,0.0007,0.16,0.069,0.6667,0.7083,0.0,0.1126,0.147,0.0077,0.0017,0.1429,0.0585,0.9901,0.8693,0.0008,0.1611,0.069,0.6667,0.7083,0.0,0.12300000000000001,0.1532,0.0078,0.0018,0.1416,0.0564,0.9901,0.8658,0.0007,0.16,0.069,0.6667,0.7083,0.0,0.1146,0.1496,0.0078,0.0017,2,0,0.1164,4,0,0.0,0.0,0.0,0.0,-400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,6,1,0,267667,-29,-1,-15,-1
102545,0,1,0,1,1,157500.0,442062.0,22698.0,369000.0,6,0,4,1,1,0.014464,-18007,-4522,-4032.0,-1554,23.0,1,1,0,1,0,0,4,3.0,2,2,6,6,0,0,0,0,0,0,18,0.4688353756241704,0.6693285132510364,0.6446794549585961,0.0825,0.0508,0.9881,0.8368,0.1532,0.08,0.069,0.375,0.4167,0.0464,0.0672,0.0948,0.0,0.0,0.084,0.0527,0.9881,0.8432,0.1546,0.0806,0.069,0.375,0.4167,0.0475,0.0735,0.0987,0.0,0.0,0.0833,0.0508,0.9881,0.8390000000000001,0.1542,0.08,0.069,0.375,0.4167,0.0472,0.0684,0.0965,0.0,0.0,0,0,0.1583,4,0,0.0,0.0,0.0,0.0,-2433.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,23,1,0,155608,-49,-12,-11,-4
102592,0,0,0,1,0,202500.0,260640.0,27369.0,225000.0,1,2,1,1,1,0.031329,-10858,-177,-6119.0,-3515,8.0,1,1,0,1,0,0,15,2.0,2,2,2,13,0,0,0,0,0,0,5,0.4381920573041631,0.5845103441468734,0.7324033228040929,0.0825,0.0326,0.9906,0.8708,0.0206,0.08,0.069,0.375,0.4167,0.0358,0.0672,0.0849,0.0,0.0,0.084,0.0339,0.9906,0.8759,0.0208,0.0806,0.069,0.375,0.4167,0.0366,0.0735,0.0885,0.0,0.0,0.0833,0.0326,0.9906,0.8725,0.0207,0.08,0.069,0.375,0.4167,0.0364,0.0684,0.0864,0.0,0.0,2,0,0.078,1,0,1.0,0.0,1.0,0.0,-856.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,10,1,0,200219,-29,0,-16,-9
102597,0,0,0,0,0,85500.0,149256.0,17842.5,135000.0,6,2,4,1,1,0.028663,-10642,-1486,-1013.0,-923,9.0,1,1,0,1,0,0,3,2.0,2,2,6,9,0,0,0,0,0,0,38,0.22269065734750207,0.5654241736090353,0.190705947811054,0.1247,0.1203,0.9861,0.8096,0.0511,0.0,0.2069,0.1667,0.2083,0.1543,0.1009,0.0922,0.0039,0.0053,0.1271,0.1248,0.9861,0.8171,0.0515,0.0,0.2069,0.1667,0.2083,0.1578,0.1102,0.0961,0.0039,0.0056,0.126,0.1203,0.9861,0.8121,0.0514,0.0,0.2069,0.1667,0.2083,0.157,0.1026,0.0939,0.0039,0.0054,2,0,0.0737,5,0,0.0,0.0,0.0,0.0,-487.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,84013,-29,-4,-2,-2
102655,0,0,0,0,0,315000.0,1451047.5,59881.5,1354500.0,1,0,4,1,1,0.072508,-12233,-3354,-2249.0,-4602,4.0,1,1,1,1,1,0,8,2.0,1,1,6,14,0,0,0,0,0,0,4,0.8080153434711459,0.7005076018901577,0.5100895276257282,0.243,0.0783,0.9965,0.9524,0.1159,0.3,0.1207,0.6771,0.7188,0.0,0.1879,0.2226,0.0473,0.0409,0.1712,0.0519,0.9965,0.9543,0.1014,0.3222,0.1379,0.5417,0.5833,0.0,0.1423,0.1763,0.0311,0.031,0.2306,0.08199999999999999,0.9965,0.953,0.1102,0.32,0.1379,0.6042,0.6458,0.0,0.1791,0.2106,0.0466,0.0401,2,0,0.1765,4,0,0.0,0.0,0.0,0.0,-638.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,310009,-33,-9,-6,-12
102763,0,1,0,1,2,387000.0,218938.5,26113.5,189000.0,6,2,1,1,5,0.003540999999999999,-10601,-1714,-5459.0,-3220,1.0,1,1,0,1,0,1,6,4.0,1,1,5,13,0,0,0,0,0,0,23,0.2991815406116581,0.6118029026677672,0.656158373001177,0.0679,0.0656,0.9911,0.8776,0.0341,0.0264,0.1224,0.2404,0.2821,0.0304,0.0441,0.0749,0.0077,0.0092,0.0294,0.0,0.9871,0.8301,0.0172,0.0,0.069,0.1667,0.2083,0.009000000000000001,0.0321,0.0328,0.0039,0.0,0.0375,0.0369,0.9911,0.8792,0.0343,0.0,0.069,0.1667,0.2083,0.0164,0.0449,0.0452,0.0078,0.0,0,0,0.1988,4,0,2.0,0.0,2.0,0.0,-402.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,4,1,0,384823,-29,-4,-14,-8
